Comprimento,Largura,X0,Y0,Xe,Ye,Distancia,Precisao,R.P.N.,R.P.A.,R.P.N.-R.P.A.,Preciso,Acuracia,R.A.N.,R.A.A.,R.A.N.-R.A.A.,Acurado
437,297,148.5,54.625,173.472,407.865,354.122,0.1,4,6,-2,Norm,48,0,0,0,Norm
152,246,123.0,38.0,176.496,54.997,56.131,1,3,3,0,Igual,43,0,0,0,Igual
486,358,179.0,60.75,9.133,274.936,273.369,0.01,5,7,-2,Norm,64,1,1,0,Norm
53,453,56.625,6.625,173.987,32.746,120.234,0.01,4,7,-3,Norm,9,0,0,0,Norm
407,110,55.0,50.875,25.035,10.331,50.415,1,3,3,0,Igual,98,3,3,0,Igual
83,190,47.5,10.375,127.091,1.6,80.073,0.01,4,4,0,Igual,6,0,0,0,Igual
198,399,49.875,49.5,1.075,139.539,102.413,1,3,3,0,Igual,59,1,1,0,Igual
105,62,7.75,13.125,6.825,64.29,51.173,0.01,4,6,-2,Norm,34,0,0,0,Norm
314,24,12.0,78.5,12.604,62.443,16.068,0.001,3,4,-1,Norm,84,0,0,0,Norm
208,186,23.25,52.0,95.707,88.318,81.049,0.001,4,5,-1,Norm,47,0,0,0,Norm
111,439,54.875,55.5,320.147,12.29,268.768,0.1,4,5,-1,Norm,43,1,1,0,Norm
391,293,36.625,97.75,207.05,50.157,176.946,1,4,5,-1,Norm,61,1,1,0,Norm
263,179,89.5,32.875,29.571,23.622,60.639,0.1,3,4,-1,Norm,21,0,0,0,Norm
334,388,97.0,167.0,337.467,210.174,244.312,0.001,5,40,-35,Norm,45,0,0,0,Norm
50,198,24.75,12.5,182.846,24.093,158.52,0.01,5,5,0,Igual,27,0,0,0,Igual
409,142,71.0,204.5,107.175,208.737,36.422,0.1,3,3,0,Igual,63,0,0,0,Igual
303,155,19.375,75.75,87.441,55.853,70.915,1,3,3,0,Igual,47,0,0,0,Igual
34,343,42.875,4.25,106.732,6.547,63.898,0.1,4,5,-1,Norm,85,1,1,0,Norm
287,324,162.0,143.5,90.427,86.868,91.268,0.01,4,5,-1,Norm,83,1,2,-1,Norm
125,407,101.75,31.25,248.533,65.29,150.678,0.1,4,2,2,Arr,43,0,0,0,Igual
394,282,70.5,197.0,243.89,258.406,183.942,1,4,4,0,Igual,41,0,0,0,Igual
498,250,125.0,124.5,212.688,120.117,87.797,1,3,4,-1,Norm,85,0,0,0,Norm
222,347,86.75,111.0,55.129,99.501,33.647,0.001,4,6,-2,Norm,61,0,0,0,Norm
117,346,43.25,58.5,133.095,2.691,105.768,0.1,3,4,-1,Norm,88,2,1,1,Arr
30,6,3.0,15.0,1.576,15.348,1.466,0.001,3,4,-1,Norm,8,0,0,0,Norm
