Comprimento,Largura,X0,Y0,Xe,Ye,Distancia,Precisao,R.P.N.,R.P.A.,R.P.N.-R.P.A.,Preciso,Acuracia,R.A.N.,R.A.A.,R.A.N.-R.A.A.,Acurado
42,48,12.0,10.5,3.934,41.051,31.598,0.001,6,9,-3,Norm,78,1,1,0,Norm
375,302,37.75,187.5,35.995,294.498,107.012,0.01,4,6,-2,Norm,6,0,0,0,Norm
14,476,238.0,7.0,278.551,12.403,40.909,0.001,3,5,-2,Norm,57,0,0,0,Norm
175,194,97.0,87.5,113.336,158.667,73.018,0.01,4,76,-72,Norm,3,0,0,0,Norm
301,436,109.0,150.5,384.669,246.406,291.876,0.001,5,12,-7,Norm,74,1,2,-1,Norm
192,264,132.0,96.0,81.356,92.663,50.754,1,2,2,0,Igual,9,0,0,0,Igual
279,437,218.5,34.875,379.029,85.222,168.239,0.001,4,12,-8,Norm,74,1,1,0,Norm
271,102,12.75,135.5,35.167,105.83,37.186,1,2,3,-1,Norm,5,0,0,0,Norm
306,34,8.5,76.5,11.983,239.768,163.305,0.001,4,5,-1,Norm,92,1,1,0,Norm
112,210,26.25,56.0,112.94,19.231,94.165,1,4,4,0,Igual,95,2,2,0,Igual
484,315,39.375,242.0,236.213,149.097,217.661,0.01,5,7,-2,Norm,3,0,0,0,Norm
487,492,123.0,121.75,23.354,363.391,261.38,0.01,4,8,-4,Norm,5,0,0,0,Norm
381,331,82.75,47.625,161.934,106.294,98.55,0.01,4,8,-4,Norm,26,0,0,0,Norm
415,69,17.25,207.5,35.176,334.314,128.075,0.001,4,8,-4,Norm,6,0,0,0,Norm
436,16,2.0,218.0,6.94,304.34,86.481,1,2,3,-1,Norm,60,0,0,0,Norm
433,190,47.5,216.5,22.261,210.149,26.026,0.01,3,5,-2,Norm,54,0,0,0,Norm
147,227,28.375,18.375,80.329,60.303,66.762,1,3,4,-1,Norm,99,2,3,-1,Norm
441,497,62.125,55.125,416.034,31.876,354.672,1,4,6,-2,Norm,38,1,1,0,Norm
74,68,17.0,37.0,7.986,39.945,9.483,0.001,4,5,-1,Norm,30,0,0,0,Norm
355,349,174.5,177.5,90.804,251.756,111.888,0.01,4,4,0,Igual,72,1,1,0,Igual
387,496,62.0,193.5,165.329,76.553,156.056,0.001,4,7,-3,Norm,97,2,2,0,Norm
347,66,33.0,43.375,37.352,64.59,21.657,0.01,3,4,-1,Norm,26,0,0,0,Norm
